title,price,rating,location,duration,category,lon,lat
Paragliding In Shimla,2545.0,4.0,Shimla,,paragliding,77.1932037,31.02285
Paragliding in Nainital,1299.0,5.0,Bhimtal,,paragliding,79.4377611,29.3824491
Paragliding In Dehradun,4400.0,4.0,Dehradun,,paragliding,,
Bir Billing Camping And Paragliding,2699.0,4.0,Bir - Billing,2D/1N,paragliding,76.7240902,32.0414583
Powered Paragliding in Rishikesh,4299.0,4.0,Rishikesh,,paragliding,78.2005685,30.0876602
Bungee Jumping In Goa,2699.0,5.0,"Goa, India",1H,bungee jumping,,
Bungee Jumping in Rishikesh,1620.0,4.0,Rishikesh,,bungee jumping,78.3981336,30.066805
Kolad Bungee Jumping,1900.0,4.0,Kolad,1H,bungee jumping,73.2002087,18.4057277
Bungee Jumping In Mumbai,2250.0,5.0,Mumbai,1H,bungee jumping,73.2002087,18.4057277
Kolad River Rafting and Bungee Jumping,1650.0,5.0,Kolad,2H,bungee jumping,73.2002087,18.4057277
Adventure Combo in Rishikesh,3970.0,4.0,Rishikesh,3H,bungee jumping,78.3981336,30.066805
Bungee Jumping with Cycling in Bir Billing,1800.0,3.0,Bir - Billing,3H,bungee jumping,,
3 Exciting Adventure Sports in Mohan Chatti village near Rishikesh,1550.0,4.0,Rishikesh,1H,bungee jumping,78.3981336,30.066805
Adventure at Charan Beel,1699.0,3.0,Guwahati,6H,canyoning,,
Adventure Activities in Mcleodganj | Flat 18%,450.0,4.0,Mcleodganj,,rock climbing,,
Rock Climbing and Rappelling in Bir | Flat 21% off,590.0,5.0,,,rock climbing,,
Wall Climbing at Jim Corbett Flat 28% off,490.0,4.0,Ramnagar,,rock climbing,,
Rock Climbing in Jibhi | Flat 20% off,400.0,5.0,Jibhi,3H,rock climbing,,
Adventure Activities near Jodhpur,1200.0,3.0,Jodhpur,4H,rock climbing,,
Adventure Activities Combo in Manali | Flat 17% off,740.0,5.0,Manali,3H,rock climbing,,
Adventure in Bheem Bhadak near Jodhpur,999.0,4.0,Jodhpur,3H,rock climbing,,
Trekking at Chaupasni Village in Jodhpur,499.0,4.0,Jodhpur,2H,rock climbing,,
Experiential Rock Climbing in Ooty,280.0,4.0,Ooty,2H,rock climbing,76.658402,11.4118505
Rock Climbing in Mussoorie I Book Now & Save 19%,849.0,5.0,Mussoorie,2H,rock climbing,,
Rock Climbing in Shimla @ ₹800 Only | Book & Save 20%,800.0,4.0,Shimla,,rock climbing,,
Rock Climbing in Dandeli,970.0,4.0,Dandeli,5H,rock climbing,74.5997723,15.2361181
Homestay In Nilgiris With Bonfire,2600.0,4.0,Nilgiris,2D/1N,rock climbing,,
Camping with Adventure Activities in Solang Valley,2000.0,3.0,Manali,3D/2N,rock climbing,,
Rock Climbing In Rishikesh With Rappelling,470.0,5.0,Rishikesh,1H,rock climbing,78.3805095,30.1347166
Day Out at Silver Sands Beach Resort Chennai,999.0,4.0,Chennai,8H,rock climbing,,
Rock Climbing In Hyderabad,1000.0,5.0,Hyderabad,2H,rock climbing,78.1278513,17.4121531
Rock Climbing and Rappelling at Mount Abu,1049.0,3.0,Sirohi,1H,rock climbing,,
Multi Activity Tour at Mungpoo in West Bengal,1499.0,4.0,Darjeeling,6H,rock climbing,,
Adventure at Charan Beel,1699.0,3.0,Guwahati,6H,rock climbing,,
Water Zorbing in Bhimtal,300.0,4.0,Bhimtal,,zorbing,,
Water Zorbing in Nainital | Book Online & Get Flat 28% off,250.0,5.0,Nainital,,zorbing,,
Water Zorbing near Jim Corbett Flat 10% off,270.0,4.0,Ramnagar,,zorbing,,
Lawn Zorbing near Jim Corbett Flat 10% off,270.0,4.0,Ramnagar,,zorbing,,
Zorbing in Shimla,350.0,4.0,Tattapani,1H,zorbing,77.088981,31.0782005
Camping with Fun Filled Activities near Delhi,1880.0,3.0,Faridabad,2D/1N,zorbing,,
Zorbing in Bangalore,190.0,4.0,Bangalore,,zorbing,77.3507442,12.9538477
Surf through Thrilling Waves in Pondicherry,2500.0,4.0,Pondicherry,1D,surfing,,
Surfing In Chennai,1149.0,4.0,Chennai,1H,surfing,,
Camping and Surfing at Kovalam Chennai - Flat 17% Off,3199.0,5.0,Chennai,2D/1N,surfing,,
